long,lat,count
-73.9728,40.7645,429
-74.0005,40.7583,429
-73.9881,40.7696,428
-74.0072,40.7413,428
-73.9619,40.7794,427
-73.9677,40.7627,427
-73.9731,40.7641,427
-73.9909,40.7511,427
-73.9952,40.7498,427
-74.0062,40.7397,427
-74.0063,40.7394,427
-73.9820,40.7689,426
-73.9900,40.7515,426
-73.9906,40.7560,426
-73.9948,40.750,426
-74.0056,40.7402,425
-73.9945,40.7506,424
-73.7825,40.6487,423
-73.9847,40.7683,423
-73.9878,40.7226,423
-73.9888,40.7484,423
-74.0010,40.7464,423
-74.0072,40.7412,422
-73.7900,40.6469,421
-73.9678,40.7627,420
-73.9953,40.7494,420
-74.0011,40.7464,420
-74.0136,40.7151,420
-73.9557,40.7796,419
-73.9819,40.7688,419
-73.9877,40.7213,419
-73.9891,40.7743,419
-73.9901,40.7514,419
-73.9902,40.7516,419
-74.0037,40.7482,419
-74.0040,40.7428,419
-74.0081,40.7389,419
-73.9546,40.7696,417
-73.9813,40.7412,417
-74.0025,40.7283,417
-74.0076,40.7407,417
-74.0081,40.7388,417
-73.9749,40.7417,416
-74.0052,40.7405,416
-73.9558,40.7796,415
-73.9676,40.7629,415
-73.9807,40.7305,415
-73.9867,40.7298,414
-74.0027,40.7497,414
-73.8719,40.7744,413
-73.9565,40.7669,413
-73.9695,40.7854,413
-73.9767,40.7392,413
-73.9824,40.7312,413
-73.9906,40.7561,413
-73.9908,40.7559,413
-73.9913,40.7489,413
-73.9915,40.7497,413
-73.9823,40.7716,412
-73.9893,40.7478,412
-73.9920,40.7493,412
-73.9888,40.7483,411
-73.9998,40.7588,411
-74.0049,40.7407,411
-73.8715,40.7743,410
-73.9819,40.7732,410
-73.8702,40.7730,409
-73.9533,40.7883,409
-73.9822,40.7715,409
-73.9848,40.7684,409
-73.9953,40.7440,409
-73.9994,40.7613,409
-74.0043,40.7425,409
-73.871,40.7741,408
-73.8729,40.7743,408
-73.9514,40.7699,408
-73.9742,40.7370,408
-73.9913,40.7488,408
-74.0002,40.7586,408
-74.0051,40.7409,408
-74.0073,40.7409,408
-73.8730,40.7743,407
-73.9855,40.7277,407
-73.9886,40.7485,407
-74.0024,40.7344,407
-74.0047,40.7407,407
-73.9820,40.7688,406
-73.9853,40.7318,406
-73.9884,40.7275,406
-73.9876,40.7213,405
-73.8713,40.7743,404
-73.9819,40.7685,404
-73.9906,40.7610,404
-73.994,40.7504,404
-74.0068,40.7416,404
-73.8708,40.7739,403
-73.9957,40.7592,403
-74.0021,40.7396,403
-73.9678,40.7626,402
-73.9751,40.7652,402
-73.990,40.7508,402
-73.9940,40.7513,402
-74.0055,40.7411,402
-73.8731,40.7744,401
-73.9893,40.7477,401
-74.0062,40.7438,401
-73.9750,40.7416,400
-73.9891,40.7480,400
-73.9892,40.7230,400
-73.9904,40.7514,400
-73.992,40.7492,400
-73.9956,40.7491,400
-73.9554,40.7767,399
-73.9816,40.7683,399
-73.9817,40.7683,398
-73.9900,40.7518,398
-74.0015,40.7358,398
-73.8613,40.7675,397
-73.9543,40.7638,397
-73.9619,40.7795,397
-74.0040,40.7427,397
-74.0067,40.7415,397
-73.861,40.7682,396
-73.8644,40.7700,396
-73.8657,40.7709,396
-74.0042,40.7219,396
-74.0081,40.7486,396
-73.8718,40.7744,395
-73.9804,40.7304,395
-73.9847,40.7684,395
-73.9919,40.7492,395
-73.9954,40.7495,395
-73.9976,40.7565,395
-73.8655,40.7709,394
-73.9539,40.7789,394
-73.9636,40.7741,394
-73.9751,40.7415,394
-73.9850,40.7243,394
-73.9910,40.7507,394
-73.9954,40.7493,393
-74.0090,40.7156,393
-73.8703,40.7733,392
-73.9804,40.7424,392
-73.9911,40.7506,392
-73.9748,40.7876,391
-73.9783,40.7729,391
-73.9931,40.7576,391
-74.0053,40.7399,391
-74.0058,40.7401,391
-73.9537,40.7878,390
-73.9637,40.7741,390
-73.9794,40.7528,390
-73.9823,40.7726,390
-73.9999,40.7346,390
-74.0063,40.7438,390
-73.7764,40.6451,389
-73.9671,40.7636,389
-73.9886,40.7486,389
-73.8653,40.7706,388
-73.9718,40.7821,388
-73.9907,40.7559,388
-73.9691,40.7852,387
-73.9694,40.7854,387
-73.9760,40.7761,387
-73.9847,40.7693,387
-73.9875,40.7225,387
-73.990,40.7512,387
-73.991,40.750,387
-74.0044,40.7422,387
-73.8652,40.7706,386
-73.9621,40.7793,386
-73.9785,40.7723,386
-73.9832,40.7386,386
-74.0052,40.7406,386
-73.8712,40.7741,385
-73.9788,40.7668,385
-73.9827,40.7393,385
-73.9875,40.7200,385
-73.9945,40.7504,385
-74.0022,40.7396,385
-74.0068,40.7513,385
-73.9542,40.7641,384
